アーキア　　　　　　　　　　　　　　　　あーきあ　　　　　　　　　　　　　　　　,N B.     ,古細菌、真核生物
ノロウイルス　　　　　　　　　　　　　　のろういるす　　　　　　　　　　　　　　,N B.     ,一般的な胃腸炎の原因
ノンアル　　　　　　　　　　　　　　　　のんある　　　　　　　　　　　　　　　　,N B.     ,ノンアルコール
ノンバイナリー　　　　　　　　　　　　　のんばいなりー　　　　　　　　　　　　　,N 1.     ,
ノンバンク　　　　　　　　　　　　　　　のんばんく　　　　　　　　　　　　　　　,N 5.     ,貸金業
パークアンドライド　　　　　　　　　　　ぱーくあんどらいど　　　　　　　　　　　,N 1.     ,
ｖｓ　　　　　　　　　　　　　　　　　　ばーさす　　　　　　　　　　　　　　　　,F Y.     ,
パーシビアランス　　　　　　　　　　　　ぱーしびあらんす　　　　　　　　　　　　,N B.     ,火星探査機
バーチャルリアリティー　　　　　　　　　ばーちゃるりありてぃー　　　　　　　　　,N 1.     ,ｖｉｒｔｕａｌ　ｒｅａｌｉｔｙ
ＶＲ　　　　　　　　　　　　　　　　　　ばーちゃるりありてぃー　　　　　　　　　,N 1.     ,仮想現実
パーティー券　　　　　　　　　　　　　　ぱーてぃーけん　　　　　　　　　　　　　,N 1.     ,
バーナム効果　　　　　　　　　　　　　　ばーなむこうか　　　　　　　　　　　　　,N 1.     ,自分だけに当てはまるかのように感じでしまう現象
ハーネス　　　　　　　　　　　　　　　　はーねす　　　　　　　　　　　　　　　　,N B.     ,紐の束,犬の胴輪
ハーバリウム　　　　　　　　　　　　　　はーばりうむ　　　　　　　　　　　　　　,N 1.     ,Ｈｅｒｂａｒｉｕｍ
ハーバル　　　　　　　　　　　　　　　　はーばる　　　　　　　　　　　　　　　　,C  .     ,Ｈｅｒｂａｌ薬草の
バーラト　　　　　　　　　　　　　　　　ばーらと　　　　　　　　　　　　　　　　,N 7.     ,Ｂｈａｒａｔインドの国名
排煙する　　　　　　　　　　　　　　　　はいえんする　　　　　　　　　　　　　　,D 4.     ,
バイオマーカー　　　　　　　　　　　　　ばいおまーかー　　　　　　　　　　　　　,N B.     ,生物指標化合物
バイオマス　　　　　　　　　　　　　　　ばいおます　　　　　　　　　　　　　　　,N B.     ,ｂｉｏｍａｓｓ再生可能な、生物由来の有機性資源
バイオミミクリー　　　　　　　　　　　　ばいおみみくりー　　　　　　　　　　　　,N 1.     ,ｂｉｏｍｉｍｉｃｒｙ生命や自然界の仕組みから学び、システムの開発に活かすこと
バイオミメティクス　　　　　　　　　　　ばいおみめてぃくす　　　　　　　　　　　,N 1.     ,生物模倣
バイオメトリクス　　　　　　　　　　　　ばいおめとりくす　　　　　　　　　　　　,N 1.     ,個人を認証
バイオロギング　　　　　　　　　　　　　ばいおろぎんぐ　　　　　　　　　　　　　,N 1.     ,Ｂｉｏ－ｌｏｇｇｉｎｇ
ハイタッチ　　　　　　　　　　　　　　　はいたっち　　　　　　　　　　　　　　　,N 1.     ,
廃寺　　　　　　　　　　　　　　　　　　はいでら　　　　　　　　　　　　　　　　,N 1.     ,
売電する　　　　　　　　　　　　　　　　ばいでんする　　　　　　　　　　　　　　,D 4.     ,
バイドゥ　　　　　　　　　　　　　　　　ばいどぅ　　　　　　　　　　　　　　　　,N 1.     ,百度 検索エンジン
バイトテロ　　　　　　　　　　　　　　　ばいとてろ　　　　　　　　　　　　　　　,N 1.     ,アルバイト・従業員が職場で適切ではない行為
バイナリー発電　　　　　　　　　　　　　ばいなりーはつでん　　　　　　　　　　　,N 1.     ,沸点の低い媒体を加熱・蒸発させてその蒸気でタービンを回す方式
ハイパースライム　　　　　　　　　　　　はいぱーすらいむ　　　　　　　　　　　　,N B.     ,Ｈｙｐｅｒ－ＳＬｉＭＥ超好熱地殻内化学合成(岩石)独立栄養微生物
ハイビジ　　　　　　　　　　　　　　　　はいびじ　　　　　　　　　　　　　　　　,N B.     ,塗装
パイラー　　　　　　　　　　　　　　　　ぱいらー　　　　　　　　　　　　　　　　,N B.     ,杭打機
バイリンガル　　　　　　　　　　　　　　ばいりんがる　　　　　　　　　　　　　　,C  .     ,２カ国語を話す人
ハイレジ　　　　　　　　　　　　　　　　はいれじ　　　　　　　　　　　　　　　　,N 1.     ,減量法
ハイレゾ　　　　　　　　　　　　　　　　はいれぞ　　　　　　　　　　　　　　　　,N 1.     ,高解像度
ハイレゾリューション　　　　　　　　　　はいれぞりゅーしょん　　　　　　　　　　,N 1.     ,Ｈｉｇｈ－Ｒｅｓｏｌｕｔｉｏｎ高解像度
廃炉　　　　　　　　　　　　　　　　　　はいろ　　　　　　　　　　　　　　　　　,N B.     ,
Ｖｉｎｅ　　　　　　　　　　　　　　　　ばいん　　　　　　　　　　　　　　　　　,N 1.     ,ショート形式の動画共有サービス
ハウスダスト　　　　　　　　　　　　　　はうすだすと　　　　　　　　　　　　　　,N B.     ,ｈｏｕｓｅ　ｄｕｓｔ
パウチ　　　　　　　　　　　　　　　　　ぱうち　　　　　　　　　　　　　　　　　,N B.     ,ラミネート
パエリア　　　　　　　　　　　　　　　　ぱえりあ　　　　　　　　　　　　　　　　,N B.     ,
墓じまいする　　　　　　　　　　　　　　はかじまいする　　　　　　　　　　　　　,D 4.     ,
バカップル　　　　　　　　　　　　　　　ばかっぷる　　　　　　　　　　　　　　　,N 1.  N  ,
墓友　　　　　　　　　　　　　　　　　　はかとも　　　　　　　　　　　　　　　　,N 4.     ,
ばか話　　　　　　　　　　　　　　　　　ばかばなし　　　　　　　　　　　　　　　,N 1.  N  ,
爆買いする　　　　　　　　　　　　　　　ばくがいする　　　　　　　　　　　　　　,D 4.     ,
白色矮星　　　　　　　　　　　　　　　　はくしょくわいせい　　　　　　　　　　　,N B.     ,ｗｈｉｔｅ　ｄｗａｒｆ
爆睡する　　　　　　　　　　　　　　　　ばくすいする　　　　　　　　　　　　　　,D 4.     ,
パクチー　　　　　　　　　　　　　　　　ぱくちー　　　　　　　　　　　　　　　　,N B.     ,
バクテリオファージ　　　　　　　　　　　ばくてりおふぁーじ　　　　　　　　　　　,N B.     ,細菌につくウイルス
バク転する　　　　　　　　　　　　　　　ばくてんする　　　　　　　　　　　　　　,D 4.     ,
パクリ　　　　　　　　　　　　　　　　　ぱくり　　　　　　　　　　　　　　　　　,N 1.  N  ,C N
バゲット　　　　　　　　　　　　　　　　ばげっと　　　　　　　　　　　　　　　　,N 1.     ,パンの一種
破骨細胞　　　　　　　　　　　　　　　　はこつさいぼう　　　　　　　　　　　　　,N B.     ,
ハザードマップ　　　　　　　　　　　　　はざーどまっぷ　　　　　　　　　　　　　,N B.     ,災害予測図
ハサップ　　　　　　　　　　　　　　　　はさっぷ　　　　　　　　　　　　　　　　,N 1.     ,ＨＡＣＣＰ
ＨＡＣＣＰ　　　　　　　　　　　　　　　はさっぷ　　　　　　　　　　　　　　　　,N 1.     ,
播種する　　　　　　　　　　　　　　　　はしゅする　　　　　　　　　　　　　　　,D 4.     ,種まき
場所細胞　　　　　　　　　　　　　　　　ばしょさいぼう　　　　　　　　　　　　　,N B.     ,Ｐｌａｃｅ　ｃｅｌｌ特定の場所を通過するときにだけ発火する神経細胞
パシリ　　　　　　　　　　　　　　　　　ぱしり　　　　　　　　　　　　　　　　　,N 4.     ,
バジル　　　　　　　　　　　　　　　　　ばじる　　　　　　　　　　　　　　　　　,N B.     ,ハーブ
バズる　　　　　　　　　　　　　　　　　ばずる　　　　　　　　　　　　　　　　　,D R.     ,
バソヒビン　　　　　　　　　　　　　　　ばそひびん　　　　　　　　　　　　　　　,N B.     ,Ｖａｓｏｈｉｂｉｎ血管新生に必要な増殖・遊走・管腔形成を抑制
